[0:01:13.398501] The current delay is 0.0
[0:01:13.404682] The current count is: 0
[0:01:13.410687] The current count is: 1
[0:01:13.416641] The current count is: 2
[0:01:13.422637] The current count is: 3
[0:01:13.428586] The current count is: 4
[0:01:13.438868] The current count is: 5
[0:01:13.444949] The current count is: 6
[0:01:13.451028] The current count is: 7
[0:01:13.456907] The current count is: 8
[0:01:13.462844] The current count is: 9
[0:01:13.468699] The current count is: 10
[0:01:13.474537] The current count is: 11
[0:01:13.480435] The current count is: 12
[0:01:13.486328] The current count is: 13
[0:01:13.492222] The current count is: 14
[0:01:13.497528] The current count is: 15
[0:01:13.502673] The current count is: 16
[0:01:13.507864] The current count is: 17
[0:01:13.513081] The current count is: 18
[0:01:13.518231] The current count is: 19
[0:01:13.523366] The current count is: 20
[0:01:13.528483] The current count is: 21
[0:01:13.533663] The current count is: 22
[0:01:13.538863] The current count is: 23
[0:01:13.544035] The current count is: 24
[0:01:13.549242] The current count is: 25
[0:01:13.554370] The current count is: 26
[0:01:13.559485] The current count is: 27
[0:01:13.564613] The current count is: 28
[0:01:13.569780] The current count is: 29
[0:01:13.574972] The current count is: 30
[0:01:13.580122] The current count is: 31
[0:01:13.585342] The current count is: 32
[0:01:13.590511] The current count is: 33
[0:01:13.595901] The current count is: 34
[0:01:13.601397] The current count is: 35
[0:01:13.606791] The current count is: 36
[0:01:13.617697] The current count is: 37
[0:01:13.623226] The current count is: 38
[0:01:13.628654] The current count is: 39
[0:01:13.634058] The current count is: 40
[0:01:13.639430] The current count is: 41
[0:01:13.644787] The current count is: 42
[0:01:13.650237] The current count is: 43
[0:01:13.655671] The current count is: 44
[0:01:13.661137] The current count is: 45
[0:01:13.666543] The current count is: 46
[0:01:13.671934] The current count is: 47
[0:01:13.677375] The current count is: 48
[0:01:13.682762] The current count is: 49
[0:01:13.688131] The current count is: 50
[0:01:13.693670] The current count is: 51
[0:01:13.698974] The current count is: 52
[0:01:13.704268] The current count is: 53
[0:01:13.709726] The current count is: 54
[0:01:13.715116] The current count is: 55
[0:01:13.727730] The current count is: 56
[0:01:13.733054] The current count is: 57
[0:01:13.738395] The current count is: 58
[0:01:13.743698] The current count is: 59
[0:01:13.748951] The current count is: 60
[0:01:13.754229] The current count is: 61
[0:01:13.759452] The current count is: 62
[0:01:13.764825] The current count is: 63
[0:01:13.770241] The current count is: 64
[0:01:13.775621] The current count is: 65
[0:01:13.781037] The current count is: 66
[0:01:13.794857] The current count is: 67
[0:01:13.800431] The current count is: 68
[0:01:13.811049] The current count is: 69
[0:01:13.816781] The current count is: 70
[0:01:13.822421] The current count is: 71
[0:01:13.828054] The current count is: 72
[0:01:13.833667] The current count is: 73
[0:01:13.839342] The current count is: 74
[0:01:13.844970] The current count is: 75
[0:01:13.850582] The current count is: 76
[0:01:13.856155] The current count is: 77
[0:01:13.861771] The current count is: 78
[0:01:13.867349] The current count is: 79
[0:01:13.872907] The current count is: 80
[0:01:13.878506] The current count is: 81
