time, current
0.0, 0.247
0.1, 0.0
0.2, 0.0
0.3, 0.0
0.4, 0.0
0.5, 0.0
0.6, 0.0
0.7, 0.0
0.8, 0.0
0.9, 0.0
1.0, 0.0
1.1, 0.0
1.2, 0.0
1.3, 0.0
1.4, 0.0
1.5, 0.0
1.6, 0.0
1.7, 0.0
1.8, 0.0
1.9, 0.0
2.0, 0.0
2.1, 0.0
2.2, 0.0
2.3, 0.0
2.4, 0.0
2.5, 0.0
2.6, 0.0
2.7, 0.0
2.8, 0.0
2.9, 0.0
3.0, 0.0
3.1, 0.0
3.2, 0.0
3.3, 0.0
3.4, 0.0
3.5, 0.0
3.6, 0.0
3.7, 0.0
3.8, 0.0
3.9, 0.0
4.0, 0.0
4.1, 0.0
4.2, 0.0
4.3, 0.0
4.4, 0.0
4.5, 0.0
4.6, 0.0
4.7, 0.0
4.8, 0.0
4.9, 0.0
5.0, 0.0
5.1, 0.0
5.2, 0.0
5.3, 0.0
5.4, 0.0
5.5, 0.0
5.6, 0.0
5.7, 0.0
5.8, 0.0
5.9, 0.0
6.0, 0.0
6.1, 0.0
6.2, 0.0
6.3, 0.0
6.4, 0.0
6.5, 0.0
6.6, 0.0
6.7, 0.0
6.8, 0.0
6.9, 0.0
7.0, 0.0
7.1, 0.0
7.2, 0.0
7.3, 0.0
7.4, 0.0
7.5, 0.0
7.6, 0.0
7.7, 0.005
7.8, 0.004
7.9, 0.005
8.0, 0.016
8.1, 0.01
8.2, 0.025
8.3, 0.317
8.4, 0.343
8.5, 0.343
8.6, 0.343
8.7, 0.343
8.8, 0.343
8.9, 0.343
9.0, 0.343
9.1, 0.343
9.2, 0.343
9.3, 0.343
9.4, 0.343
9.5, 0.343
9.6, 0.343
9.7, 0.343
9.8, 0.343
9.9, 0.343
10.0, 0.343
10.1, 0.343
10.2, 0.343
10.3, 0.343
10.4, 0.343
10.5, 0.343
10.6, 0.343
10.7, 0.343
10.8, 0.343
10.9, 0.343
11.0, 0.343
11.1, 0.343
11.2, 0.343
11.3, 0.343
11.4, 0.343
11.5, 0.343
11.6, 0.343
11.7, 0.343
11.8, 0.343
11.9, 0.343
12.0, 0.343
12.1, 0.343
12.2, 0.343
12.3, 0.343
12.4, 0.343
12.5, 0.343
12.6, 0.343
12.7, 0.343
12.8, 0.343
12.9, 0.343
13.0, 0.343
13.1, 0.343
13.2, 0.343
13.3, 0.343
13.4, 0.343
13.5, 0.343
13.6, 0.343
13.7, 0.343
13.8, 0.343
13.9, 0.343
14.0, 0.343
14.1, 0.343
14.2, 0.343
14.3, 0.343
14.4, 0.343
14.5, 0.343
14.6, 0.343
14.7, 0.343
14.8, 0.343
14.9, 0.343
15.0, 0.343
15.1, 0.343
15.2, 0.343
15.3, 0.343
15.4, 0.343
15.5, 0.343
15.6, 0.343
15.7, 0.343
15.8, 0.343
15.9, 0.343
16.0, 0.343
16.1, 0.343
16.2, 0.343
16.3, 0.343
16.4, 0.343
16.5, 0.343
16.6, 0.343
16.7, 0.343
16.8, 0.343
16.9, 0.343
17.0, 0.343
17.1, 0.343
17.2, 0.343
17.3, 0.343
17.4, 0.343
17.5, 0.343
17.6, 0.343
17.7, 0.343
17.8, 0.343
17.9, 0.343
18.0, 0.343
18.1, 0.343
18.2, 0.343
18.3, 0.343
18.4, 0.343
18.5, 0.343
18.6, 0.343
18.7, 0.343
18.8, 0.343
18.9, 0.343
19.0, 0.343
19.1, 0.343
19.2, 0.343
19.3, 0.343
19.4, 0.343
19.5, 0.343
19.6, 0.343
19.7, 0.343
19.8, 0.343
19.9, 0.343
